epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4091,4.83696,5.44007,4.45739,0,0,0,0,5.51353,5.11504,4.16307,4.4e-05,4.4e-05,4.4e-05
2,78.9488,4.50671,5.29384,4.35794,0,0,0,0,5.52076,5.12103,4.16985,9.01784e-05,9.01784e-05,9.01784e-05
3,118.376,4.19658,5.35479,4.33865,0,0,0,0,5.53579,5.1359,4.18235,0.000134456,0.000134456,0.000134456
4,158.144,4.11019,4.60695,4.09337,0,0,0,0,5.56962,5.17182,4.20841,0.000176833,0.000176833,0.000176833
5,197.68,3.61705,4.25804,3.99585,0,0,0,0,5.61446,5.26048,4.24666,0.000217309,0.000217309,0.000217309
6,237.284,3.35743,3.99438,3.77532,0,0,0,0,5.67026,5.31311,4.29621,0.000255884,0.000255884,0.000255884
7,276.747,3.11347,3.7369,3.51951,0,0,0,0,5.71403,5.33589,4.3505,0.000292558,0.000292558,0.000292558
8,316.319,3.06612,3.4974,3.38764,0,0,0,0,5.73096,5.33629,4.38858,0.000327332,0.000327332,0.000327332
9,355.582,2.87844,3.22871,3.18397,0,0,0,0,5.76802,5.35332,4.44091,0.00033664,0.00033664,0.00033664
10,394.985,2.91357,3.57905,3.21595,0,0,0,0,5.7784,5.35661,4.46556,0.00032872,0.00032872,0.00032872
11,434.77,2.78055,3.13778,3.05429,0.00371,0.04207,0.01891,0.00275,5.60455,5.1997,4.34564,0.0003208,0.0003208,0.0003208
12,474.357,2.66598,2.90637,2.89692,0.39004,0.03245,0.03142,0.01176,4.89963,4.66467,3.86304,0.00031288,0.00031288,0.00031288
13,513.696,2.51338,2.71182,2.82969,0.02575,0.19862,0.1133,0.0544,3.02056,3.54259,2.97471,0.00030496,0.00030496,0.00030496
14,553.491,2.36175,2.53708,2.648,0.63723,0.16503,0.16216,0.08809,2.58313,2.6528,2.61858,0.00029704,0.00029704,0.00029704
15,593.125,2.19813,2.27619,2.46557,0.7508,0.18137,0.21003,0.10816,2.40989,2.32654,2.43565,0.00028912,0.00028912,0.00028912
16,632.693,2.28792,2.28422,2.52687,0.74046,0.19541,0.22709,0.11579,2.3075,2.12838,2.35373,0.0002812,0.0002812,0.0002812
17,672.873,2.15748,2.38888,2.40795,0.72099,0.21091,0.24245,0.12285,2.16734,1.91344,2.22642,0.00027328,0.00027328,0.00027328
18,712.925,2.11172,2.1118,2.33038,0.71388,0.23079,0.26376,0.13586,2.06887,1.81377,2.14579,0.00026536,0.00026536,0.00026536
19,752.609,2.03785,2.08499,2.27123,0.67896,0.25002,0.30613,0.15532,2.04516,1.69554,2.14371,0.00025744,0.00025744,0.00025744
20,791.871,2.07077,2.00197,2.26153,0.71613,0.30363,0.35579,0.1794,1.92196,1.58692,2.07022,0.00024952,0.00024952,0.00024952
21,831.224,1.88577,1.85732,2.12267,0.56472,0.36361,0.40567,0.19519,1.89118,1.51685,2.03468,0.0002416,0.0002416,0.0002416
22,870.544,1.8579,1.75472,2.1016,0.60648,0.36572,0.40645,0.21081,1.81485,1.66767,2.00991,0.00023368,0.00023368,0.00023368
23,909.998,1.81096,1.73447,2.02655,0.60793,0.41173,0.42416,0.23392,1.71688,1.43276,1.92321,0.00022576,0.00022576,0.00022576
24,949.58,1.77194,1.69253,1.99707,0.54262,0.415,0.43837,0.25269,1.67094,1.46132,1.88041,0.00021784,0.00021784,0.00021784
25,989.464,1.70843,1.62534,1.94572,0.62042,0.44235,0.44736,0.2793,1.50869,1.2501,1.7813,0.00020992,0.00020992,0.00020992
26,1029.07,1.83886,2.09706,2.08473,0.66013,0.42931,0.45341,0.2799,1.5172,1.31081,1.76961,0.000202,0.000202,0.000202
27,1068.41,1.76122,1.72201,1.96906,0.72171,0.47904,0.46846,0.29232,1.51737,1.17492,1.73528,0.00019408,0.00019408,0.00019408
28,1108.2,1.68206,1.62112,1.9119,0.73268,0.49738,0.48434,0.31141,1.40366,1.10061,1.66905,0.00018616,0.00018616,0.00018616
29,1147.93,1.584,1.59468,1.80924,0.6798,0.48419,0.4911,0.32397,1.40021,1.09798,1.65995,0.00017824,0.00017824,0.00017824
30,1187.57,1.63086,1.48483,1.83644,0.74235,0.49151,0.48684,0.32526,1.39768,1.07097,1.64854,0.00017032,0.00017032,0.00017032
31,1226.9,1.53746,1.34593,1.79619,0.68652,0.4715,0.48363,0.31563,1.34951,1.00081,1.61296,0.0001624,0.0001624,0.0001624
32,1266.42,1.51629,1.35646,1.72417,0.69271,0.47663,0.49177,0.32594,1.34341,1.02402,1.60423,0.00015448,0.00015448,0.00015448
33,1307.03,1.54769,1.36481,1.77509,0.81991,0.50682,0.52838,0.33056,1.41489,1.06555,1.64845,0.00014656,0.00014656,0.00014656
34,2636.84,1.51907,1.40666,1.75033,0.82308,0.51747,0.52297,0.34064,1.3455,1.04296,1.6241,0.00013864,0.00013864,0.00013864
35,2675.27,1.52273,1.42272,1.7535,0.78836,0.50989,0.54216,0.35551,1.31499,1.01053,1.60044,0.00013072,0.00013072,0.00013072
36,2714.38,1.42553,1.20449,1.66651,0.80817,0.49424,0.54873,0.35372,1.30425,0.96204,1.5802,0.0001228,0.0001228,0.0001228
37,2754.08,1.49329,1.4448,1.74213,0.81364,0.48965,0.55325,0.35758,1.28923,0.96193,1.56961,0.00011488,0.00011488,0.00011488
38,2793.23,1.44205,1.24137,1.66551,0.79389,0.5026,0.59063,0.37185,1.28075,0.94265,1.55642,0.00010696,0.00010696,0.00010696
39,2832.55,1.45779,1.27548,1.69695,0.8588,0.51233,0.59706,0.3792,1.26451,0.9349,1.55045,9.904e-05,9.904e-05,9.904e-05
40,2872.2,1.40008,1.19809,1.65131,0.8048,0.51241,0.60785,0.38182,1.24571,0.93696,1.54985,9.112e-05,9.112e-05,9.112e-05
41,2911.24,2.09988,3.16083,2.47656,0.93562,0.49761,0.59402,0.37308,1.27996,0.9922,1.55886,8.32e-05,8.32e-05,8.32e-05
42,2949.92,1.86399,2.79694,2.33072,0.70727,0.59999,0.57792,0.34753,1.35982,1.12659,1.5984,7.528e-05,7.528e-05,7.528e-05
43,2988.44,1.78383,2.60566,2.2727,0.84037,0.50656,0.53076,0.33844,1.40359,1.19689,1.62896,6.736e-05,6.736e-05,6.736e-05
44,3027.23,1.6441,2.43156,2.16903,0.84434,0.51009,0.50544,0.33343,1.40435,1.2428,1.63718,5.944e-05,5.944e-05,5.944e-05
45,3068.97,1.53962,2.42083,2.07188,0.78123,0.50874,0.50276,0.32964,1.40076,1.2456,1.63859,5.152e-05,5.152e-05,5.152e-05
46,3108.41,1.49424,2.33408,1.99683,0.7842,0.49717,0.50463,0.32805,1.40683,1.23628,1.64632,4.36e-05,4.36e-05,4.36e-05
47,3147.14,1.45266,2.2321,1.91654,0.76794,0.51101,0.50394,0.32326,1.42323,1.27722,1.66548,3.568e-05,3.568e-05,3.568e-05
48,3185.74,1.37741,2.0818,1.89237,0.82141,0.51817,0.50537,0.32005,1.4388,1.31285,1.68239,2.776e-05,2.776e-05,2.776e-05
49,3224.61,1.39884,2.06544,1.89699,0.82012,0.51647,0.50542,0.31801,1.44534,1.3116,1.68543,1.984e-05,1.984e-05,1.984e-05
50,3263.36,1.38661,2.09646,1.88313,0.8216,0.51589,0.50611,0.31799,1.4466,1.29993,1.6846,1.192e-05,1.192e-05,1.192e-05
